id,cuarto_id,user_id,comentario,calificacion,created_at,updated_at
550e8400-e29b-41d4-a716-446655440001,550e8400-e29b-41d4-a716-446655440010,550e8400-e29b-41d4-a716-446655440020,"Excelente cuarto, muy limpio y cómodo. La ubicación es perfecta y el precio muy justo.",5,2024-01-15 10:30:00+00,2024-01-15 10:30:00+00
550e8400-e29b-41d4-a716-446655440002,550e8400-e29b-41d4-a716-446655440010,550e8400-e29b-41d4-a716-446655440021,"Buen cuarto pero el baño necesita algunas reparaciones menores. En general recomendado.",4,2024-01-16 14:20:00+00,2024-01-16 14:20:00+00
550e8400-e29b-41d4-a716-446655440003,550e8400-e29b-41d4-a716-446655440011,550e8400-e29b-41d4-a716-446655440022,"Cuarto espacioso y bien iluminado. El propietario es muy amable y atento.",5,2024-01-17 09:15:00+00,2024-01-17 09:15:00+00
550e8400-e29b-41d4-a716-446655440004,550e8400-e29b-41d4-a716-446655440011,550e8400-e29b-41d4-a716-446655440023,"Regular, esperaba más por el precio. La habitación es pequeña pero funcional.",3,2024-01-18 16:45:00+00,2024-01-18 16:45:00+00
550e8400-e29b-41d4-a716-446655440005,550e8400-e29b-41d4-a716-446655440012,550e8400-e29b-41d4-a716-446655440024,"Perfecto para estudiantes. Zona tranquila y cerca del transporte público.",4,2024-01-19 11:30:00+00,2024-01-19 11:30:00+00
550e8400-e29b-41d4-a716-446655440006,550e8400-e29b-41d4-a716-446655440012,550e8400-e29b-41d4-a716-446655440025,"Increíble cuarto con todas las comodidades. Definitivamente lo recomiendo al 100%.",5,2024-01-20 13:20:00+00,2024-01-20 13:20:00+00
550e8400-e29b-41d4-a716-446655440007,550e8400-e29b-41d4-a716-446655440013,550e8400-e29b-41d4-a716-446655440026,"Cuarto decente pero la conexión a internet es lenta. Por lo demás está bien.",3,2024-01-21 08:10:00+00,2024-01-21 08:10:00+00
550e8400-e29b-41d4-a716-446655440008,550e8400-e29b-41d4-a716-446655440013,550e8400-e29b-41d4-a716-446655440027,"Muy buena opción para el presupuesto. Limpio, seguro y bien ubicado.",4,2024-01-22 17:00:00+00,2024-01-22 17:00:00+00
550e8400-e29b-41d4-a716-446655440009,550e8400-e29b-41d4-a716-446655440014,550e8400-e29b-41d4-a716-446655440028,"Excelente experiencia, el cuarto superó mis expectativas. Muy recomendado.",5,2024-01-23 12:45:00+00,2024-01-23 12:45:00+00
550e8400-e29b-41d4-a716-446655440010,550e8400-e29b-41d4-a716-446655440014,550e8400-e29b-41d4-a716-446655440029,"Buena relación calidad-precio. El cuarto está bien equipado y es cómodo.",4,2024-01-24 15:30:00+00,2024-01-24 15:30:00+00
